epix_address,x42_address,original_balance,final_balance,deduction_amount,deduction_percentage,signature,raw_json
epix1ggsmk2fjjw476k0urxd3g4et67f267eknsd076,XPACG4ecvxjzYv4SAT1MCZP6J5nZtR8Dzu,381737135382,3167.85573400,64951561982,17.01%,IK2PYuL58IArHdimqzDezoUOrRTI+jb66FH2idIXC6l3N0GbvK05v4Z2nbVnrf3wu7KHFnN+v1uGLJSExS6H7U4=,"{""x42_address"":""XPACG4ecvxjzYv4SAT1MCZP6J5nZtR8Dzu"",""epix_address"":""epix1ggsmk2fjjw476k0urxd3g4et67f267eknsd076"",""snapshot_balance"":381737135382}"
epix1mkum8hhzk2v85nnljc88hxxga5muvwlseryvaq,XR1Ea1mt96F8YLMYFM2pphuZGgQ1ANtuEk,2021272422541,16773.58276217,343914146324,17.01%,INUQ5bUV7wPvvgyU5kdSJFyAjCPESRP7ZRnJsJKewFtyew5d8Yxhps9p+OjR+FgbaHjECN8Ik6kQ1sZgfV5uZs8=,"{""x42_address"":""XR1Ea1mt96F8YLMYFM2pphuZGgQ1ANtuEk"",""epix_address"":""epix1mkum8hhzk2v85nnljc88hxxga5muvwlseryvaq"",""snapshot_balance"":2021272422541}"
epix1uv8py5rxvgqkxcpvrtqxusmn34v32amtdmz75x,XXiHHgsjLDndebcvUuK9WVPUGUipcViLrP,2474672293896,20536.13360971,421058932925,17.01%,IEtnm1EainvyKKDQPDvkNLU9E/2O/GznDvpJ+xxr0f75PBoz2cCCfLsQgtJb5K/3LXi9itzJC787rvHd5Q0OnwM=,"{""x42_address"":""XXiHHgsjLDndebcvUuK9WVPUGUipcViLrP"",""epix_address"":""epix1uv8py5rxvgqkxcpvrtqxusmn34v32amtdmz75x"",""snapshot_balance"":2474672293896}"
epix1fchavq74lnxt72he263s9367t3n04fuzu8q347,XaZfkymz8SrZJkFRYK4nibGA9RMorzMkkT,217858308901,1807.90294966,37068013935,17.01%,IJk/OvpzBVkF5tvIaBFH/DN6TElKSEV5lUmi6pWHdnqQZxhIy9ZzNcstON4MjWXlDB+ZO1EZEZDTgR9XELFAy+4=,"{""x42_address"":""XaZfkymz8SrZJkFRYK4nibGA9RMorzMkkT"",""epix_address"":""epix1fchavq74lnxt72he263s9367t3n04fuzu8q347"",""snapshot_balance"":217858308901}"
epix1n4m2qt02z7hwqqsj0pllsqcc4np9c423glkcyd,XLjKvPHArfjVTzjUD5UTRTBsgjB4vcANn9,2738040346875,22721.70037661,465870309214,17.01%,H9nmsbebC5YNOjoGZfBu5xloTXxg2D2u/Ex7MOcblO5wG3GH424PVHHDqtwD92vdmvd7OwJHZlbZ3aKUy3K89p0=,"{""x42_address"":""XLjKvPHArfjVTzjUD5UTRTBsgjB4vcANn9"",""epix_address"":""epix1n4m2qt02z7hwqqsj0pllsqcc4np9c423glkcyd"",""snapshot_balance"":2738040346875}"
epix17jtzy4j5dzq225r8m96vd386n4jgewp82ql24x,XRv6RTFHRNrGWEaH1XnzfeUzBFymPiNk98,2422319395642,20101.68169619,412151226023,17.01%,HyAQneqHR6475N27BFQSKiuWQo7X0sNA2qwk+FVnOSxdWlVdOY64kyQMJ5/dhhN9jcWRxi8YH80K3PbjuVItpwM=,"{""x42_address"":""XRv6RTFHRNrGWEaH1XnzfeUzBFymPiNk98"",""epix_address"":""epix17jtzy4j5dzq225r8m96vd386n4jgewp82ql24x"",""snapshot_balance"":2422319395642}"
epix1s2dh6edze04sldk06ukmz6whzdpj3ghgquzckr,XRJ5dTPzzaoNuXJCy9wp5rEvXLHz42Wr9m,215884379464,1791.52224391,36732155073,17.01%,IANyCeOY/uW1x2tgN4r4NNX2lJNdxZSZ2BjV9o9q7ji8F3B4Mrx+GDwcaqEVlMA7ZPHxqtHEBqgUAhjzjq4Pf0M=,"{""x42_address"":""XRJ5dTPzzaoNuXJCy9wp5rEvXLHz42Wr9m"",""epix_address"":""epix1s2dh6edze04sldk06ukmz6whzdpj3ghgquzckr"",""snapshot_balance"":215884379464}"
epix1p4nhs45alrmmmkgz6yv6h2cs0m89ulvp352a00,XDR3ZwHNjT7nG9UibtshZ4R2oyFaJ5VtUp,2522654808345,20934.31777740,429223030605,17.01%,H3Wo8XkKgMz2pvRl8p808io4pOqurhQkrhqQiYKqT2ipCX7/SXDBheb7HSkJyD5AhNIMUxmVP6I1OC9PuSNbihs=,"{""x42_address"":""XDR3ZwHNjT7nG9UibtshZ4R2oyFaJ5VtUp"",""epix_address"":""epix1p4nhs45alrmmmkgz6yv6h2cs0m89ulvp352a00"",""snapshot_balance"":2522654808345}"
epix1v8wyvccvchd638cd4rh4c0p4q2ru6kmxx9yrw4,XZri4eN9RuSWHRRJQfgL2jDpzwNqurU9K1,675073789265,5602.11772967,114862016298,17.01%,IC+K/17ulWQ15+ckR1unneXPOriA+Lea1kq1NxLrbaBUGVEtFA1N/mp6F8DK5EhlJPr0bPAE6i6FjOmgT8L+xp8=,"{""x42_address"":""XZri4eN9RuSWHRRJQfgL2jDpzwNqurU9K1"",""epix_address"":""epix1v8wyvccvchd638cd4rh4c0p4q2ru6kmxx9yrw4"",""snapshot_balance"":675073789265}"
epix1m2gns704fhe2vx9e9r6aqluwsp7zg5zmd6kafc,XTEG6Yrwj1ptC59wj24UvBh3vX8vWr8reT,2117930185932,17575.69977310,360360208622,17.01%,H0jI/ImzH3s3wqXq5BisvS2T1C28D80G3cTYtj4lbzxgC8Hltm0IUjsEb8MRUNVcVRS1hM1goUBUI3/waYAwzPE=,"{""x42_address"":""XTEG6Yrwj1ptC59wj24UvBh3vX8vWr8reT"",""epix_address"":""epix1m2gns704fhe2vx9e9r6aqluwsp7zg5zmd6kafc"",""snapshot_balance"":2117930185932}"
